phos	tf	splen
P50552	Q13422	4.0
P50552	P19544	3.0
P50552	P05549	3.0
P50552	Q01892	4.0
P50552	Q12968	3.0
P50552	O43623	4.0
P50552	Q15853	4.0
P50552	O95625	5.0
P50552	P52945	3.0
P50552	Q9UKY1	3.0
P50552	O14497	4.0
P50552	Q9H9S0	4.0
P50552	P57682	4.0
P50552	Q03014	4.0
P50552	P11308	4.0
P50552	P11474	4.0
P50552	Q12952	4.0
P50552	Q00577	4.0
P50552	P43694	3.0
P50552	P40425	5.0
P50552	P12980	3.0
P50552	P20265	3.0
P50552	Q9BYV9	4.0
P60484	Q07869	3.0
P60484	Q13330	3.0
P60484	O15516	3.0
P60484	P41182	3.0
P60484	P49711	3.0
